CLASS,VALUE
F         ,42999.96
F         ,174000
M           ,47000.04
M           ,66000
F         ,52400.04
M           ,60999.96
M           ,66000
F         ,77904
M           ,120000
F         ,51999.96
M           ,85999.92
F         ,51999.96
F         ,48999.96
F         ,51999.96
F         ,46999.92
F         ,119073.96
M           ,47000.04
F         ,82599.96
F         ,78000
F         ,62274
F         ,63556.92
F         ,124999.92
M           ,168000
F         ,201600
F         ,59575.92
M           ,201600
M           ,115113
F         ,112113
M           ,201600
F         ,115113
F         ,58374
F         ,90000
F         ,125058
F         ,58374
F         ,79999.92
F         ,117113.04
F         ,60000
F         ,90000
M           ,201600
M           ,59575.92
F         ,60159
F         ,54999.96
F         ,59575.92
F         ,89902.92
F         ,90000
F         ,48049.92
F         ,59575.92
F         ,54159.96
F         ,58374
M           ,59575.92
F         ,50316
F         ,201600
F         ,65859.96
F         ,62952.96
F         ,90000
M           ,59575.92
F         ,58374
M           ,137025
M           ,204600
F         ,39874.92
F         ,137025
F         ,115113
M           ,59575.92
M           ,59575.92
F         ,71991
M           ,59575.92
F         ,201600
M           ,115113
M           ,59575.92
F         ,51858
F         ,60000
F         ,50316
F         ,49999.92
M           ,115113
F         ,63861.96
M           ,105000
F         ,137025
M           ,59575.92
M           ,59575.92
M           ,77799.96
F         ,109999.92
F         ,46999.92
M           ,59575.92
F         ,58374
F         ,84027.96
M           ,59575.92
M           ,59575.92
F         ,115113
F         ,58373.88
M           ,56739
F         ,115113
F         ,58374
M           ,62952.96
F         ,50469.96
F         ,60000
M           ,59575.92
F         ,59575.92
F         ,115113
F         ,50469.96
F         ,56540.04
M           ,65000.04
F         ,41000.04
F         ,48000
F         ,112112.4
F         ,56540.04
M           ,112112.4
M           ,56540.04
F         ,72000
F         ,112112.4
F         ,47615.4
F         ,47615.4
M           ,56540.04
F         ,47615.4
F         ,37500
M           ,112112.4
F         ,112112.4
F         ,112112.4
F         ,112112.4
M           ,112112.4
F         ,47615.4
F         ,43118.04
M           ,112112.4
M           ,112112.4
F         ,112112.4
F         ,201600
M           ,201600
F         ,201600
F         ,204600
F         ,56540.04
F         ,112112.4
F         ,112112.4
F         ,56540.04
M           ,56540.04
F         ,112112.4
F         ,47615.4
F         ,112112.4
F         ,47615.4
F         ,112112.4
M           ,184800
F         ,71000.04
M           ,48000
M           ,113080.2
F         ,112112.4
F         ,47615.4
F         ,70000.08
M           ,201600
F         ,112112.4
M           ,112112.4
F         ,129024.96
F         ,112112.4
F         ,184800
M           ,112112.4
M           ,112112.4
F         ,112112.4
F         ,49646.64
F         ,112112.4
M           ,112112.4
F         ,41000.04
M           ,168000
F         ,98000.04
F         ,112112.4
M           ,184800
F         ,59528.04
F         ,95000.04
M           ,126000
F         ,47000.04
F         ,45321.96
F         ,126000
M           ,126000
M           ,45321.96
F         ,126000
F         ,126000
M           ,59000.04
M           ,126000
F         ,126000
M           ,126000
M           ,84000
F         ,59000.04
M           ,43947.96
F         ,70000.08
M           ,85000.08
M           ,126000
F         ,64000.08
F         ,45321.96
F         ,126000
M           ,78999.96
M           ,90000
M           ,45325.56
F         ,50000.04
F         ,43600.08
F         ,45321.96
F         ,45325.56
F         ,72000
M           ,146000.04
F         ,45321.96
F         ,45325.56
F         ,126000
F         ,45321.96
F         ,45325.56
F         ,45325.56
F         ,89000.04
F         ,45321.96
F         ,84000
M           ,126000
F         ,45321.96
F         ,118000.08
F         ,41352.6
M           ,85000.08
F         ,45000
M           ,98000.04
F         ,45321.96
M           ,126000
F         ,45325.56
M           ,126000
M           ,126000
F         ,45936
F         ,41352.6
M           ,45325.56
M           ,75000
F         ,126000
F         ,45321.96
F         ,45321.96
F         ,45000
F         ,45321.96
F         ,73000.08
F         ,126000
F         ,45321.96
F         ,126000
F         ,80000.04
F         ,85000.08
M           ,126000
F         ,126000
M           ,126000
M           ,98000.04
F         ,45325.56
F         ,126000
F         ,43947.96
M           ,126000
F         ,45325.56
F         ,54060
M           ,126000
F         ,59000.04
M           ,126000
M           ,59000.04
F         ,47000.04
F         ,98000.04
F         ,146000.04
F         ,59000.04
F         ,84000
F         ,45321.96
F         ,45321.96
M           ,108000
F         ,43600.8
F         ,75000
M           ,94000.08
F         ,126000
F         ,45321.96
F         ,126000
F         ,56000.04
M           ,126000
F         ,126000
M           ,92400
M           ,126000
F         ,126000
F         ,41352.6
F         ,98000.04
F         ,45321.96
F         ,104000.04
F         ,153000
F         ,45321.96
F         ,45000
F         ,75000
F         ,47000.04
F         ,126000
F         ,45325.56
F         ,126000
M           ,46000.08
F         ,83457.6
F         ,126000
F         ,75400.08
F         ,100000.08
M           ,86000.04
F         ,78000
F         ,59000.04
F         ,126000
M           ,48800.04
M           ,153000
F         ,75000
F         ,126000
M           ,66000
F         ,92400
F         ,83322.48
F         ,59000.04
F         ,59000.04
F         ,56000.04
M           ,93999.96
F         ,45321.96
F         ,150000
F         ,43947.96
M           ,126000
M           ,95000.04
F         ,126000
M           ,84000
F         ,59000.04
F         ,65000.04
M           ,126000
M           ,76000.08
M           ,126000
F         ,126000
M           ,126000
F         ,66000
F         ,126000
M           ,50000.04
F         ,126000
F         ,45325.56
F         ,126000
F         ,73661.16
F         ,45321.96
F         ,126000
F         ,116120.04
F         ,45325.56
M           ,55129.92
F         ,126000
F         ,45325.56
F         ,47000.04
F         ,126000
F         ,43947.96
M           ,95000.04
M           ,126000
M           ,126000
F         ,45321.96
M           ,69158.76
F         ,126000
F         ,126000
F         ,45325.56
F         ,59000.04
F         ,15600
F         ,45321.96
M           ,126000
F         ,45321.96
M           ,46080
M           ,41352.6
M           ,45667.56
F         ,51000
F         ,43600.08
F         ,43947.96
F         ,43947.96
M           ,81000
F         ,41352.6
M           ,73000.08
F         ,45325.56
F         ,43947.96
F         ,45321.96
F         ,85000.08
F         ,126000
F         ,41352.6
F         ,45325.56
F         ,45325.56
F         ,160000.08
F         ,126000
F         ,48800.04
F         ,45321.96
M           ,72000
M           ,153000
M           ,43947.96
F         ,43600.08
F         ,51000
M           ,126000
F         ,67000.08
M           ,126000
M           ,59000.04
F         ,33991.44
M           ,126000
F         ,55000.08
F         ,104000.04
F         ,126000
F         ,45321.96
M           ,108000
F         ,45321.96
F         ,45321.96
F         ,52000.08
F         ,45321.96
F         ,126000
M           ,197415
M           ,66000
M           ,100000.08
M           ,56000.04
M           ,126000
M           ,126000
F         ,45321.96
F         ,82000.08
F         ,72000
F         ,45321.96
M           ,126000
F         ,126000
F         ,126000
F         ,43600.08
F         ,45321.96
F         ,126000
F         ,75000
F         ,51000
F         ,126000
M           ,146000.04
F         ,45321.96
F         ,126000
F         ,43600.08
F         ,90999.96
M           ,126000
M           ,126000
F         ,41352.6
F         ,59000.04
F         ,41352.6
F         ,45321.96
F         ,73200
M           ,140000.04
M           ,126000
M           ,126000
F         ,75000
F         ,43947.96
F         ,126000
F         ,100000.08
F         ,50000.04
F         ,66000
F         ,45322.08
F         ,45321.96
F         ,115573.08
F         ,33000
M           ,115573.08
F         ,139999.92
F         ,58123.2
F         ,75044.04
F         ,65000.04
F         ,52695.36
M           ,67000.08
F         ,56540.04
F         ,63407.04
M           ,58123.2
F         ,60531.6
F         ,25026.6
F         ,58596
M           ,58596
F         ,58123.2
F         ,75044.04
M           ,100106.64
F         ,49468.68
F         ,77100
F         ,61680
F         ,67000.08
F         ,82244.04
M           ,148509.96
M           ,153999.96
M           ,97654.32
F         ,97654.32
M           ,70044.12
F         ,153999.96
F         ,107686.44
F         ,97654.32
M           ,153999.96
F         ,107686.44
F         ,55620
F         ,56658.24
M           ,153999.96
M           ,97654.32
F         ,107686.44
M           ,153999.96
F         ,184800
F         ,153999.96
M           ,184800
F         ,55620
M           ,97654.32
F         ,107686.44
M           ,76224.12
F         ,107686.44
F         ,97654.32
F         ,107686.44
F         ,97654.32
F         ,187800
F         ,107686.44
F         ,97654.32
M           ,56658.24
M           ,107686.44
F         ,107686.44
F         ,107686.44
M           ,97654.32
M           ,97654.32
F         ,97654.32
F         ,107686.44
F         ,119812.2
F         ,56966.52
F         ,53147.16
F         ,100044.12
M           ,153999.96
M           ,184800
F         ,47350.08
M           ,95044.2
F         ,108685.32
F         ,35700
F         ,38408.04
F         ,47350.08
F         ,60089.76
F         ,184800
F         ,100044.12
F         ,100044.12
F         ,56966.52
F         ,108302.04
F         ,108302.04
F         ,153999.96
M           ,56500.08
F         ,95044.2
F         ,26000.04
F         ,62475
F         ,100044.12
